,Python,JavaScript,HTML,TypeScript,Java,Jupyter Notebook,Shell,C++,CSS,PHP
January,15.3,12.7,11.7,9.0,4.8,4.2,3.5,3.1,2.8,2.6
February,11.8,14.1,9.3,9.7,9.1,3.7,4.4,5.8,3.8,2.0
March,10.1,15.4,11.7,11.2,5.5,5.8,2.8,5.8,2.6,1.1
April,14.2,15.8,9.6,9.1,5.9,5.6,3.1,3.3,4.0,3.0
May,11.8,15.6,8.6,8.3,5.2,4.5,12.8,4.0,3.3,1.8
June,14.1,16.1,12.2,9.3,4.4,3.9,2.7,4.3,2.9,2.0
July,10.5,16.8,12.9,8.8,6.2,3.9,3.0,5.5,4.6,2.3
August,12.0,16.1,13.7,10.0,6.9,4.6,2.9,4.0,2.6,2.3
September,10.4,14.8,14.3,9.5,9.5,5.5,1.9,3.6,3.5,2.5
October,9.4,21.4,11.4,9.0,10.4,4.8,1.7,3.3,4.3,2.0
November,10.7,19.1,11.5,9.3,9.1,5.8,1.5,3.7,3.6,2.3
